mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__class_weight,param_rf__max_depth,param_rf__max_features,param_rf__min_samples_leaf,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.835242462158203,0.03450092425468516,0.07799305915832519,0.006250706839685111,balanced_subsample,,0.5,2,10,300,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': None, 'rf__max_features': 0.5, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 10, 'rf__n_estimators': 300}",0.9130164647406027,0.9173656415035725,0.8701460080770426,0.916744330537434,0.8996582789686237,0.903386144765455,0.01780681998256283,11
4.706000089645386,0.045808101448885016,0.16821746826171874,0.019787474498826615,balanced_subsample,,0.5,5,10,800,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': None, 'rf__max_features': 0.5, 'rf__min_samples_leaf': 5, 'rf__min_samples_split': 10, 'rf__n_estimators': 800}",0.9158123640882263,0.9108418763591178,0.8704566635601119,0.9170549860205033,0.9024541783162473,0.9033240136688413,0.017216480906734284,12
4.588416719436646,0.04445634828007811,0.16262078285217285,0.016519854415765353,balanced_subsample,,0.5,5,2,800,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': None, 'rf__max_features': 0.5, 'rf__min_samples_leaf': 5, 'rf__min_samples_split': 2, 'rf__n_estimators': 800}",0.9158123640882263,0.9108418763591178,0.8704566635601119,0.9170549860205033,0.9024541783162473,0.9033240136688413,0.017216480906734284,12
4.675747632980347,0.06053573013769183,0.1457207679748535,0.013935815987901348,balanced_subsample,,0.5,5,5,800,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': None, 'rf__max_features': 0.5, 'rf__min_samples_leaf': 5, 'rf__min_samples_split': 5, 'rf__n_estimators': 800}",0.9158123640882263,0.9108418763591178,0.8704566635601119,0.9170549860205033,0.9024541783162473,0.9033240136688413,0.017216480906734284,12
3.070612096786499,0.022607907966954048,0.05377388000488281,0.002756027027107817,balanced_subsample,14,0.5,5,10,800,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 14, 'rf__max_features': 0.5, 'rf__min_samples_leaf': 5, 'rf__min_samples_split': 10, 'rf__n_estimators': 800}",0.9148803976390184,0.9108418763591178,0.8704566635601119,0.9176762969866418,0.9024541783162472,0.9032618825722274,0.017187532235169882,15
4.3163158893585205,0.038768366886757305,0.13512959480285644,0.008614753619197559,balanced_subsample,14,0.5,5,2,800,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 14, 'rf__max_features': 0.5, 'rf__min_samples_leaf': 5, 'rf__min_samples_split': 2, 'rf__n_estimators': 800}",0.9148803976390184,0.9108418763591178,0.8704566635601119,0.9176762969866418,0.9024541783162472,0.9032618825722274,0.017187532235169882,15
4.150557184219361,0.02184364043185551,0.11869497299194336,0.01392914623218383,balanced_subsample,14,0.5,5,5,800,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 14, 'rf__max_features': 0.5, 'rf__min_samples_leaf': 5, 'rf__min_samples_split': 5, 'rf__n_estimators': 800}",0.9148803976390184,0.9108418763591178,0.8704566635601119,0.9176762969866418,0.9024541783162472,0.9032618825722274,0.017187532235169882,15
2.889854907989502,0.05214632610812584,0.11162896156311035,0.010919647519913263,balanced_subsample,,0.5,5,5,500,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': None, 'rf__max_features': 0.5, 'rf__min_samples_leaf': 5, 'rf__min_samples_split': 5, 'rf__n_estimators': 500}",0.9186082634358496,0.9120844982913948,0.867350108729419,0.9161230195712955,0.9015222118670395,0.9031376203789996,0.018822133502259652,18
2.9149631023406983,0.04371154374275806,0.10986371040344238,0.01632806975684257,balanced_subsample,,0.5,5,2,500,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': None, 'rf__max_features': 0.5, 'rf__min_samples_leaf': 5, 'rf__min_samples_split': 2, 'rf__n_estimators': 500}",0.9186082634358496,0.9120844982913948,0.867350108729419,0.9161230195712955,0.9015222118670395,0.9031376203789996,0.018822133502259652,18
2.9936217308044433,0.030193501102907465,0.1082338809967041,0.009274455305073658,balanced_subsample,,0.5,5,10,500,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': None, 'rf__max_features': 0.5, 'rf__min_samples_leaf': 5, 'rf__min_samples_split': 10, 'rf__n_estimators': 500}",0.9186082634358496,0.9120844982913948,0.867350108729419,0.9161230195712955,0.9015222118670395,0.9031376203789996,0.018822133502259652,18
